Date,Rank,Song,Artist,LastWeek,PeakRank,WeeksOnBoard
9/15/2007,1,Crank That (Soulja Boy),Soulja Boy Tell'em,2.0,1,8
9/15/2001,1,I'm Real,Jennifer Lopez Featuring Ja Rule,1.0,1,11
9/15/1990,1,Release Me,Wilson Phillips,2.0,1,12
9/15/1984,1,What's Love Got To Do With It,Tina Turner,1.0,1,18
9/15/1979,1,My Sharona,The Knack,1.0,1,13
9/15/1973,1,Delta Dawn,Helen Reddy,3.0,1,13
9/15/1962,1,Sherry,The 4 Seasons,11.0,1,4
9/15/1958,1,Nel Blu Dipinto Di Blu (Volar��),Domenico Modugno,1.0,1,7
9/14/2019,1,Truth Hurts,Lizzo,1.0,1,18
9/14/2013,1,Roar,Katy Perry,2.0,1,4
9/14/2002,1,Dilemma,Nelly Featuring Kelly Rowland,1.0,1,10
9/14/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1.0,1,39
9/14/1991,1,The Promise Of A New Day,Paula Abdul,2.0,1,9
9/14/1985,1,St. Elmo's Fire (Man In Motion),John Parr,1.0,1,13
9/14/1974,1,I Shot The Sheriff,Eric Clapton,2.0,1,10
9/14/1968,1,People Got To Be Free,The Rascals,1.0,1,9
9/14/1963,1,My Boyfriend's Back,The Angels,1.0,1,7
9/14/1959,1,The Three Bells,The Browns,1.0,1,8
9/13/2014,1,Shake It Off,Taylor Swift,1.0,1,2
9/13/2008,1,Whatever You Like,T.I.,1.0,1,4
9/13/2003,1,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",1.0,1,12
9/13/1997,1,Honey,Mariah Carey,,1,1
9/13/1986,1,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,2.0,1,13
9/13/1980,1,Upside Down,Diana Ross,1.0,1,10
9/13/1975,1,Rhinestone Cowboy,Glen Campbell,1.0,1,16
9/13/1969,1,Honky Tonk Women,The Rolling Stones,1.0,1,9
9/12/2020,1,Dynamite,BTS,1.0,1,2
9/12/2015,1,Can't Feel My Face,The Weeknd,2.0,1,12
